电影名,上映年份,上映时间,电影标签,电影时长,电影评分,电影语言,导演,作者,电影简介,电影 slogan
Spider-Man: Into the Spider-Verse,2018,,Animation,117,84,"$90,000,000.00",Rodney Rothman,Phil Lord,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",Enter a universe where more than one wears the mask.
Hope,2013,,Drama,122,84,Korean,Lee Joon-ik,Kim Ji-hye,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",We won't let her shed tears again.
The Empire Strikes Back,1980,,Adventure,124,84,"$18,000,000.00",Irvin Kershner,Leigh Brackett,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",The Star Wars saga continues.
Howl's Moving Castle,2004,,Fantasy,119,84,Japanese,Hayao Miyazaki,Diana Wynne Jones,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",The two lived there.
A Silent Voice,2016,,Animation,130,84,Japanese,Naoko Yamada,Reiko Yoshida,"Seorang bekas pembuli kelas bertemu dengan gadis pekak yang dibulinya di sekolah rendah. Dia berasa tidak layak untuk dimaafkan, namun dia cuba membetulkan keadaan.",Sometimes the answer is as simple as learning to listen.
Once Upon a Time in America,1984,,Drama,229,84,"$30,000,000.00",Sergio Leone,Harry Grey,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","Crime, passion and lust for power."
Gabriel's Inferno,2020,,Romance,122,84,-,Tosca Musk,Sylvain Reynard,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",Overview
Se7en,1995,,Crime,127,84,"$33,000,000.00",David Fincher,Andrew Kevin Walker,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",Gluttony. Greed. Sloth. Envy. Wrath. Pride. Lust.
The Pianist,2002,,Drama,150,84,"$35,000,000.00",Roman Polanski,Ronald Harwood,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",Music was his passion. Survival was his masterpiece.
Whiplash,2014,,Drama,107,84,"$3,300,000.00",Damien Chazelle,,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",The road to greatness can take you to the edge.
